date,value,year,change
2005-04-05,35500.499200000006,2005,0.0
2005-04-12,35500.499200000006,2005,0.0
2005-04-18,35500.499200000006,2005,0.0
2005-04-20,35500.499200000006,2005,0.0
2005-04-22,35500.499200000006,2005,0.0
2005-05-04,35500.499200000006,2005,0.0
2005-05-09,35500.499200000006,2005,0.0
2005-05-10,35500.499200000006,2005,0.0
2005-05-16,35500.499200000006,2005,0.0
2005-05-23,35500.499200000006,2005,1784.9700000000012
2005-05-24,37285.46920000001,2005,1287.0
2005-05-26,38572.46920000001,2005,0.0
2005-06-14,38572.46920000001,2005,0.0
2005-06-16,38572.46920000001,2005,425.6999999999971
2005-06-19,38998.169200000004,2005,0.0
2005-06-23,38998.169200000004,2005,0.0
2005-06-29,38998.169200000004,2005,0.0
2005-06-30,38998.169200000004,2005,277.1999999999971
2005-07-21,39275.3692,2005,0.0
2005-07-25,39275.3692,2005,0.0
2005-07-26,39275.3692,2005,160.37999999999738
2005-07-27,39435.7492,2005,0.0
2005-08-05,39435.7492,2005,0.0
2005-08-10,39435.7492,2005,0.0
2005-08-12,39435.7492,2005,0.0
2005-08-17,39435.7492,2005,0.0
2005-08-29,39435.7492,2005,0.0
2005-08-30,39435.7492,2005,73.26000000000204
2005-08-31,39509.0092,2005,0.0
2005-09-07,39509.0092,2005,0.0
2005-09-13,39509.0092,2005,112.86000000000058
2005-09-14,39621.8692,2005,0.0
2005-09-20,39621.8692,2005,0.0
2005-10-04,39621.8692,2005,0.0
2005-10-10,39621.8692,2005,0.0
2005-10-14,39621.8692,2005,0.0
2005-10-17,39621.8692,2005,0.0
2005-11-03,39621.8692,2005,0.0
2005-11-15,39621.8692,2005,0.0
2005-11-20,39621.8692,2005,0.0
2005-11-21,39621.8692,2005,0.0
2005-11-23,39621.8692,2005,0.0
2005-12-05,39621.8692,2005,0.0
2005-12-08,39621.8692,2005,0.0
2005-12-15,39621.8692,2005,0.0
2005-12-19,39621.8692,2005,0.0
2005-12-27,39621.8692,2005,0.0
2005-12-30,39621.8692,2005,0.0
2006-01-11,39621.8692,2006,188.09999999999854
2006-01-16,39809.9692,2006,227.6999999999971
2006-01-25,40037.6692,2006,0.0
2006-01-26,40037.6692,2006,0.0
2006-02-05,40037.6692,2006,306.90000000000146
2006-02-06,40344.5692,2006,0.0
2006-02-09,40344.5692,2006,0.0
2006-02-10,40344.5692,2006,0.0
2006-02-13,40344.5692,2006,0.0
2006-03-01,40344.5692,2006,346.5
2006-03-02,40691.0692,2006,0.0
2006-03-09,40691.0692,2006,0.0
2006-03-10,40691.0692,2006,0.0
2006-03-16,40691.0692,2006,495.0
2006-03-19,41186.0692,2006,0.0
2006-03-24,41186.0692,2006,0.0
2006-03-31,41186.0692,2006,0.0
2006-04-04,41186.0692,2006,0.0
2006-04-12,41186.0692,2006,208.88999999999942
2006-04-18,41394.9592,2006,545.489999999998
2006-04-27,41940.449199999995,2006,0.0
2006-05-03,41940.449199999995,2006,0.0
2006-05-10,41940.449199999995,2006,0.0
2006-05-17,41940.449199999995,2006,384.1200000000026
2006-05-21,42324.5692,2006,0.0
2006-05-30,42324.5692,2006,0.0
2006-06-01,42324.5692,2006,0.0
2006-06-20,42324.5692,2006,456.3899999999994
2006-07-02,42780.9592,2006,0.0
2006-07-05,42780.9592,2006,0.0
2006-07-10,42780.9592,2006,0.0
2006-07-12,42780.9592,2006,0.0
2006-07-21,42780.9592,2006,0.0
2006-08-03,42780.9592,2006,0.0
2006-08-07,42780.9592,2006,175.2300000000032
2006-08-08,42956.1892,2006,0.0
2006-08-11,42956.1892,2006,0.0
2006-08-13,42956.1892,2006,0.0
2006-08-14,42956.1892,2006,0.0
2006-08-15,42956.1892,2006,0.0
2006-08-16,42956.1892,2006,-34.650000000001455
2006-08-23,42921.5392,2006,0.0
2006-08-25,42921.5392,2006,0.0
2006-08-27,42921.5392,2006,0.0
2006-08-28,42921.5392,2006,0.0
2006-08-29,42921.5392,2006,0.0
2006-08-31,42921.5392,2006,0.0
2006-09-08,42921.5392,2006,0.0
2006-09-11,42921.5392,2006,132.6600000000035
2006-09-14,43054.1992,2006,368.27999999999884
2006-09-18,43422.4792,2006,0.0
2006-09-19,43422.4792,2006,0.0
2006-09-28,43422.4792,2006,359.3700000000026
2006-10-02,43781.849200000004,2006,0.0
2006-10-05,43781.849200000004,2006,0.0
2006-10-11,43781.849200000004,2006,88.11000000000058
2006-10-12,43869.959200000005,2006,0.0
2006-10-18,43869.959200000005,2006,0.0
2006-10-20,43869.959200000005,2006,0.0
2006-11-06,43869.959200000005,2006,0.0
2006-11-16,43869.959200000005,2006,0.0
2006-11-20,43869.959200000005,2006,0.0
2006-11-21,43869.959200000005,2006,0.0
2006-11-22,43869.959200000005,2006,0.0
2006-12-04,43869.959200000005,2006,60.38999999999942
2006-12-10,43930.349200000004,2006,0.0
2006-12-11,43930.349200000004,2006,79.19999999999709
2006-12-12,44009.5492,2006,0.0
2006-12-13,44009.5492,2006,0.0
