Low Base,,,Average Base,,,High Base,
date,value,,date,value,,date,value
1/10/2017,31173245.84,,1/10/2017,42646248.27,,1/10/2017,85537450.98
2/3/2017,31173245.84,,2/3/2017,42646248.27,,2/3/2017,85537450.98
2/14/2017,31230245.84,,2/14/2017,42703248.27,,2/14/2017,85594450.98
3/9/2017,31250245.84,,3/9/2017,42723248.27,,3/9/2017,85614450.98
4/6/2017,31250245.84,,4/6/2017,42723248.27,,4/6/2017,85614450.98
4/27/2017,31250245.84,,4/27/2017,42723248.27,,4/27/2017,85614450.98
5/8/2017,31250245.84,,5/8/2017,42723248.27,,5/8/2017,85614450.98
5/11/2017,31270524.66,,5/11/2017,42723248.27,,5/11/2017,85614450.98
5/26/2017,31270524.66,,5/26/2017,42723248.27,,5/26/2017,85614450.98
5/30/2017,31270524.66,,5/30/2017,42723248.27,,5/30/2017,85614450.98
6/11/2017,31270524.66,,6/11/2017,42723248.27,,6/11/2017,85614450.98
6/23/2017,31270524.66,,6/23/2017,42723248.27,,6/23/2017,85614450.98
6/26/2017,31270524.66,,6/26/2017,42723248.27,,6/26/2017,85614450.98
7/2/2017,31535524.66,,7/2/2017,42988248.27,,7/2/2017,85879450.98
7/31/2017,31535524.66,,7/31/2017,42988248.27,,7/31/2017,85884117.64
8/8/2017,31535524.66,,8/8/2017,43504398.27,,8/8/2017,87376767.64
8/11/2017,31535524.66,,8/11/2017,43504398.27,,8/11/2017,87376767.64
8/17/2017,31535524.66,,8/17/2017,43504398.27,,8/17/2017,87376767.64
8/21/2017,31535524.66,,8/21/2017,43504398.27,,8/21/2017,87376767.64
8/25/2017,31535524.66,,8/25/2017,43504398.27,,8/25/2017,87376767.64
9/14/2017,31535524.66,,9/14/2017,43504398.27,,9/14/2017,87376767.64
9/20/2017,31535524.66,,9/20/2017,43504398.27,,9/20/2017,87376767.64
9/25/2017,31535524.66,,9/25/2017,43504398.27,,9/25/2017,90212705.14
9/27/2017,31535524.66,,9/27/2017,43504398.27,,9/27/2017,90212705.14
10/1/2017,31535524.66,,10/1/2017,43504398.27,,10/1/2017,90212705.14
10/31/2017,32705524.66,,10/31/2017,44674398.27,,10/31/2017,91382705.14
11/20/2017,32705524.66,,11/20/2017,44674398.27,,11/20/2017,91382705.14
11/21/2017,32705524.66,,11/21/2017,44674398.27,,11/21/2017,91382705.14
12/24/2017,32705524.66,,12/24/2017,44674398.27,,12/24/2017,91382705.14
12/25/2017,33595355.14,,12/25/2017,45786686.37,,12/25/2017,92717450.86
12/27/2017,33603948.89,,12/27/2017,45795280.12,,12/27/2017,92726044.61
1/10/2018,33603948.89,,1/10/2018,45795280.12,,1/10/2018,92726044.61
2/2/2018,33603948.89,,2/2/2018,45795280.12,,2/2/2018,92726044.61
2/13/2018,33603948.89,,2/13/2018,45795280.12,,2/13/2018,92726044.61
3/15/2018,33619573.89,,3/15/2018,45826530.12,,3/15/2018,92772919.61
3/16/2018,33619573.89,,3/16/2018,45826530.12,,3/16/2018,92772919.61
3/20/2018,33619573.89,,3/20/2018,45826530.12,,3/20/2018,92772919.61
4/10/2018,33619573.89,,4/10/2018,45826530.12,,4/10/2018,92772919.61
4/18/2018,33619573.89,,4/18/2018,45826530.12,,4/18/2018,92772919.61
4/22/2018,33834677.99,,4/22/2018,46077995.23,,4/22/2018,93060745.73
4/23/2018,33834677.99,,4/23/2018,46077995.23,,4/23/2018,93060745.73
4/26/2018,33834677.99,,4/26/2018,46077995.23,,4/26/2018,93060745.73
5/1/2018,33834677.99,,5/1/2018,46077995.23,,5/1/2018,93060745.73
5/8/2018,33834677.99,,5/8/2018,46077995.23,,5/8/2018,93060745.73
5/13/2018,33834677.99,,5/13/2018,46077995.23,,5/13/2018,93060745.73
5/18/2018,33834677.99,,5/18/2018,46077995.23,,5/18/2018,93060745.73
5/22/2018,33834677.99,,5/22/2018,46077995.23,,5/22/2018,93060745.73
5/29/2018,33834677.99,,5/29/2018,46077995.23,,5/29/2018,93060745.73
6/4/2018,33834677.99,,6/4/2018,46077995.23,,6/4/2018,93060745.73
6/11/2018,33834677.99,,6/11/2018,46077995.23,,6/11/2018,93060745.73
6/21/2018,33950120.94,,6/21/2018,46244071.06,,6/21/2018,93277454.43
7/3/2018,33950120.94,,7/3/2018,46244071.06,,7/3/2018,93277454.43
7/31/2018,33950120.94,,7/31/2018,46244071.06,,7/31/2018,93277454.43
8/7/2018,33950120.94,,8/7/2018,46244071.06,,8/7/2018,93277454.43
8/22/2018,33950120.94,,8/22/2018,46244071.06,,8/22/2018,93277454.43
9/2/2018,33950120.94,,9/2/2018,46244071.06,,9/2/2018,93277454.43
9/5/2018,33950120.94,,9/5/2018,46244071.06,,9/5/2018,93277454.43
9/12/2018,33950120.94,,9/12/2018,46244071.06,,9/12/2018,93277454.43
9/25/2018,33950120.94,,9/25/2018,46295247.52,,9/25/2018,93372748.53
10/9/2018,34000120.92,,10/9/2018,46345247.49,,10/9/2018,93422748.51
11/12/2018,34108816.56,,11/12/2018,46569226.4,,11/12/2018,93762010.68
11/13/2018,34108816.56,,11/13/2018,46569226.4,,11/13/2018,93762010.68
12/18/2018,34108816.56,,12/18/2018,47029119.44,,12/18/2018,95425112.26
