cik,date,url,error,exp date,trading px,px date,tender px,low,high,increment,price cap,share cap,shares outstanding,tender type
"""0001053706""",2/22/2016,https://www.sec.gov//Archives/edgar/data/1053706/000104746916010267/0001047469-16-010267-index.htm,,3/21/2016,17.14,2/19/2016,,18,19.75,0.25,"30,000,000",,"8,927,972",Modified Dutch Auction
"""0001092006""",2/21/2008,https://www.sec.gov//Archives/edgar/data/1092006/000119312508034726/0001193125-08-034726-index.htm,,3/20/2008,19.02,2/19/2008,,18,20,0.25,,"4,000,000","24,998,755",Modified Dutch Auction
"""0001092006""",2/21/2008,https://www.sec.gov//Archives/edgar/data/1092006/000119312508034726/0001193125-08-034726-index.htm,Duplicate,,,,,,,,,,,
"""0001136796""",11/21/2006,https://www.sec.gov//Archives/edgar/data/1136796/000119312506239970/0001193125-06-239970-index.htm,,12/20/2006,52.94,11/16/2006,,43,52,0.25,,"1,000,000","19,838,616",Modified Dutch Auction
"""0001091862""",10/31/2014,https://www.sec.gov//Archives/edgar/data/1091862/000119312514390929/0001193125-14-390929-index.htm,,12/1/2014,22.36,10/29/2014,,21.5,24.5,0.1,"300,000,000",,"86,159,932",Modified Dutch Auction
"""0001010838""",7/10/2001,https://www.sec.gov//Archives/edgar/data/1010838/000095013401503922/0000950134-01-503922-index.htm,,8/15/2001,16.75,6/15/2001,17.75,,,,,"250,000","1,271,584",Tender Offer
"""0001156375""",8/1/2007,https://www.sec.gov//Archives/edgar/data/1156375/000119312507167751/0001193125-07-167751-index.htm,,8/29/2007,497.95,5/10/2007,560,,,,,"6,250,000","54,763,959",Tender Offer
"""0000846676""",5/22/2018,https://www.sec.gov//Archives/edgar/data/846676/000110465918034909/0001104659-18-034909-index.htm,NAV,,,,,,,,,,,
"""0000846676""",4/30/2010,https://www.sec.gov//Archives/edgar/data/846676/000110465910023644/0001104659-10-023644-index.htm,NAV,,,,,,,,,,,
"""0000845379""",6/22/2012,https://www.sec.gov//Archives/edgar/data/845379/000119312512279394/0001193125-12-279394-index.htm,NAV,,,,,,,,,,,
"""0000020212""",1/10/2018,https://www.sec.gov//Archives/edgar/data/20212/000119312518007791/0001193125-18-007791-index.htm,,2/7/2018,238.65,1/9/2018,,230,265,1,"500,000,000",,"15,410,179",Modified Dutch Auction
"""0001144834""",10/15/2008,https://www.sec.gov//Archives/edgar/data/1144834/000119312508210322/0001193125-08-210322-index.htm,Incomplete filing,,,,,,,,,,,
"""0001171825""",4/26/2018,https://www.sec.gov//Archives/edgar/data/1171825/000119312518132599/0001193125-18-132599-index.htm,,5/23/2018,52.9,4/25/2018,,50,56,0.25,"500,000,000",,"127,062,112",Modified Dutch Auction
"""0001171825""",4/27/2017,https://www.sec.gov//Archives/edgar/data/1171825/000093041317001729/0000930413-17-001729-index.htm,,5/24/2017,45.36,4/26/2017,,43,48,0.25,"2,750,000,000",,"202,735,681",Modified Dutch Auction
"""0001171825""",4/26/2018,https://www.sec.gov//Archives/edgar/data/1171825/000119312518132599/0001193125-18-132599-index.htm,Duplicate,,,,,,,,,,,
"""0001171825""",4/27/2017,https://www.sec.gov//Archives/edgar/data/1171825/000093041317001729/0000930413-17-001729-index.htm,Duplicate,,,,,,,,,,,
"""0001006265""",10/31/2000,https://www.sec.gov//Archives/edgar/data/1006265/000104596900000826/0001045969-00-000826-index.htm,,12/1/2000,14,10/27/2000,,15,17,0.5,,"391,000","1,955,014",Modified Dutch Auction
"""0000944745""",1/11/2006,https://www.sec.gov//Archives/edgar/data/944745/000095015206000162/0000950152-06-000162-index.htm,,2/24/2006,19.5,1/10/2006,23,,,,,"500,000","5,801,402",Tender Offer
"""0001091862""",10/31/2014,https://www.sec.gov//Archives/edgar/data/1091862/000119312514390929/0001193125-14-390929-index.htm,Duplicate,,,,,,,,,,,
