cik,date,url,error,exp date,trading px,px date,tender px,low,high,increment,price cap,share cap,shares outstanding
"""0001397403""",12/10/2018,https://www.sec.gov//Archives/edgar/data/1397403/000139740318000036/0001397403-18-000036-index.htm,Incomplete filing,,,,,,,,,,
"""0001397403""",11/16/2018,https://www.sec.gov//Archives/edgar/data/1397403/000139740318000029/0001397403-18-000029-index.htm,Incomplete filing,,,,,,,,,,
"""0001397403""",12/10/2018,https://www.sec.gov//Archives/edgar/data/1397403/000139740318000036/0001397403-18-000036-index.htm,Duplicate,,,,,,,,,,
"""0001397403""",11/16/2018,https://www.sec.gov//Archives/edgar/data/1397403/000139740318000029/0001397403-18-000029-index.htm,Duplicate,,,,,,,,,,
"""0001036615""",4/24/2000,https://www.sec.gov//Archives/edgar/data/1036615/0000950123-00-003954-index.html,Duplicate,,,,,,,,,,
"""0001036615""",4/24/2000,https://www.sec.gov//Archives/edgar/data/1036615/0000950123-00-003954-index.html,Duplicate,,,,,,,,,,
"""0000701869""",5/26/2017,https://www.sec.gov//Archives/edgar/data/701869/000114420417029705/0001144204-17-029705-index.htm,,6/26/2017,17.35,5/22/2017,20,,,,,"2,000,000","16,377,756"
"""0000701869""",7/26/2001,https://www.sec.gov//Archives/edgar/data/701869/000095011701500776/0000950117-01-500776-index.htm,,8/23/2001,15,7/13/2001,,15,16.75,0.25,,"100,000","7,985,595"
"""0000917100""",8/30/2002,https://www.sec.gov//Archives/edgar/data/917100/000093506902000993/0000935069-02-000993-index.htm,NAV,,,,,,,,,,
"""0000917100""",8/30/2002,https://www.sec.gov//Archives/edgar/data/917100/000093506902000993/0000935069-02-000993-index.htm,Duplicate,,,,,,,,,,
"""0000833072""",1/16/2001,https://www.sec.gov//Archives/edgar/data/833072/000095013001000209/0000950130-01-000209-index.htm,NAV,,,,,,,,,,
"""0000909494""",12/8/2014,https://www.sec.gov//Archives/edgar/data/909494/000117494714000548/0001174947-14-000548-index.htm,,1/7/2015,15.62,11/12/2014,,16.5,18.5,0.25,"$8,000,000 ",,"11,311,420"
"""0000909494""",11/29/2012,https://www.sec.gov//Archives/edgar/data/909494/000143774912012294/0001437749-12-012294-index.htm,,1/4/2013,1.12,11/13/2012,,1.35,1.5,0.01,,"6,500,000","44,261,684"
"""0000909494""",12/20/2011,https://www.sec.gov//Archives/edgar/data/909494/000143774911009657/0001437749-11-009657-index.htm,,1/20/2012,0.75,12/14/2011,,0.73,0.77,0.01,,"6,500,000","53,497,634"
"""0000909494""",9/17/2010,https://www.sec.gov//Archives/edgar/data/909494/000104746910008140/0001047469-10-008140-index.htm,,10/19/2010,0.62,9/8/2010,,0.61,0.7,0.01,,"2,900,000","57,362,236"
"""0000909494""",12/14/2009,https://www.sec.gov//Archives/edgar/data/909494/000104746909010734/0001047469-09-010734-index.htm,,1/13/2010,0.65,12/11/2009,,0.61,0.7,0.01,,"5,000,000","67,080,353"
"""0000909494""",8/20/2009,https://www.sec.gov//Archives/edgar/data/909494/000104746909007910/0001047469-09-007910-index.htm,,9/18/2009,0.54,8/19/2009,,0.4,0.6,0.01,,"5,000,000","67,865,496"
"""0001371489""",3/10/2016,https://www.sec.gov//Archives/edgar/data/1371489/000104746916010960/0001047469-16-010960-index.htm,,4/7/2016,3.31,3/9/2016,,3.3,4,0.1,"$12,000,000 ",,"37,292,989"
"""0001307748""",8/15/2018,https://www.sec.gov//Archives/edgar/data/1307748/000119312518249268/0001193125-18-249268-index.htm,Incomplete filing,,,,,,,,,,
"""0001307748""",10/27/2016,https://www.sec.gov//Archives/edgar/data/1307748/000119312516748797/0001193125-16-748797-index.htm,Incomplete filing,,,,,,,,,,
"""0001307748""",3/14/2014,https://www.sec.gov//Archives/edgar/data/1307748/000119312514099424/0001193125-14-099424-index.htm,Incomplete filing,,,,,,,,,,
"""0001080014""",10/30/2015,https://www.sec.gov//Archives/edgar/data/1080014/000104746915008165/0001047469-15-008165-index.htm,,12/1/2015,8.15,10/28/2015,,8.5,9.25,0.05,"$75,000,000 ",,"117,425,815"
"""0001000753""",12/8/2015,https://www.sec.gov//Archives/edgar/data/1000753/000119312515397182/0001193125-15-397182-index.htm,,1/7/2016,44.03,12/7/2015,,43.5,50,0.25,"$125,000,000 ",,"24,277,515"
"""0001000753""",11/26/2012,https://www.sec.gov//Archives/edgar/data/1000753/000119312512480193/0001193125-12-480193-index.htm,,12/21/2012,28.29,11/23/2012,,27,31,0.25,"$50,000,000 ",,"25,662,001"
"""0000718130""",8/14/2007,https://www.sec.gov//Archives/edgar/data/718130/000119312507182934/0001193125-07-182934-index.htm,,9/11/2007,24.65,8/13/2007,27,,,,,"1,850,000","11,281,812"
"""0000854701""",8/15/2007,https://www.sec.gov//Archives/edgar/data/854701/000119312507183391/0001193125-07-183391-index.htm,,9/14/2007,5.95,8/14/2007,,5.7,6.3,0.05,"$30,000,000 ",,"37,825,577"
"""0001019272""",6/4/2012,https://www.sec.gov//Archives/edgar/data/1019272/000093041312003410/0000930413-12-003410-index.htm,,6/29/2012,2.75,5/31/2012,3,,,,,"1,000,000","9,194,925"
"""0000944696""",12/21/2000,https://www.sec.gov//Archives/edgar/data/944696/000094469600500020/0000944696-00-500020-index.htm,,1/22/2001,0.56,12/15/2000,1.25,,,,,"750,000","7,444,687"
"""0000320340""",4/22/2015,https://www.sec.gov//Archives/edgar/data/320340/000143774915007827/0001437749-15-007827-index.htm,,5/19/2015,2.95,4/17/2015,,2.55,3,0.1,"$5,000,000 ",,"8,958,028"
"""0000320340""",6/1/2001,https://www.sec.gov//Archives/edgar/data/320340/000095014401503092/0000950144-01-503092-index.htm,,6/29/2001,4.4,5/31/2001,5.25,,,,,"1,000,000","5,623,784"
"""0000351145""",11/3/2003,https://www.sec.gov//Archives/edgar/data/351145/000095014403012126/0000950144-03-012126-index.htm,,12/2/2003,24.1,10/29/2003,,26,28,0.2,,"10,000,000","45,837,980"
"""0001065910""",11/9/2001,https://www.sec.gov//Archives/edgar/data/1065910/000102140801509772/0001021408-01-509772-index.htm,Convertible,,,,,,,,,,
"""0001056386""",4/27/2006,https://www.sec.gov//Archives/edgar/data/1056386/000118811206001206/0001188112-06-001206-index.htm,Incomplete filing,,,,,,,,,,
"""0001056386""",11/18/2002,https://www.sec.gov//Archives/edgar/data/1056386/000103221002001620/0001032210-02-001620-index.htm,Warrants / Options,,,,,,,,,,
"""0001056386""",4/27/2006,https://www.sec.gov//Archives/edgar/data/1056386/000118811206001206/0001188112-06-001206-index.htm,Duplicate,,,,,,,,,,
"""0001056386""",11/18/2002,https://www.sec.gov//Archives/edgar/data/1056386/000103221002001620/0001032210-02-001620-index.htm,Duplicate,,,,,,,,,,
"""0001056386""",4/27/2006,https://www.sec.gov//Archives/edgar/data/1056386/000118811206001206/0001188112-06-001206-index.htm,Duplicate,,,,,,,,,,
"""0001056386""",11/18/2002,https://www.sec.gov//Archives/edgar/data/1056386/000103221002001620/0001032210-02-001620-index.htm,Duplicate,,,,,,,,,,
"""0000944148""",3/4/2004,https://www.sec.gov//Archives/edgar/data/944148/000095015204001595/0000950152-04-001595-index.htm,,4/1/2004,4.5,3/3/2004,5,,,,,"7,500,000","85,723,711"
